city,date,geopotential_height,high_vegetation_cover,high_vegetation_type,lake_cover,land_sea_mask,low_vegetation_cover,low_vegetation_type,soil_type,target_latitude,target_longitude,grid_latitude,grid_longitude,total_precipitation,runoff,evaporation,dewpoint_temperature_2m,experiment_version,skin_reservoir_content,skin_temperature,soil_temperature_level1,soil_temperature_level2,soil_temperature_level3,soil_temperature_level4,soil_volume_water_content_level1,soil_volume_water_content_level2,soil_volume_water_content_level3,soil_volume_water_content_level4,surface_pressure,temperature_2m,u_component_wind_10m,v_component_wind_10m,rainfall_mm,rainfall_monthly_anomaly,rainfall_3month_avg,rainfall_6month_avg,monsoon_intensity,climate_change,siltation,landslide_risks
Kampala,2025-07-01,11573.29113153154,0.9109987845582922,19.0,0.0720095219202539,0.927990478079746,0.08476376294265023,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,3.351151145816931,0.7363541276356783,0.0038617356988288154,288.148769937915,2.0,0.0006119400834994228,296.8141776854101,294.0578233916846,293.9560300707651,294.15533645253777,294.56764406007863,0.031392890040246785,0.10111071848467437,0.011657795516829631,0.39002102815734657,82876.58630430508,295.39505537860884,0.3837173645764544,-0.23473719296747605,3351.151145816931,-2.891207059706013,3346.634590383092,3306.7954861059084,0.23029370434187071,0.4391503868981621,0.2519346649614639,0.05988918437438569
Kampala,2025-08-01,11573.29113153154,0.49975909820277786,19.0,0.0720095219202539,0.927990478079746,0.34856665913588686,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,0.899375942852706,0.15410866619744784,0.004343618289568462,284.8554397669559,2.0,1.0206153014098223e-05,293.5814247976195,290.8472011202492,291.0172852992353,290.6861360065336,291.04513755074504,0.2307507225216435,0.19362371648596102,0.17978117462419374,0.19768314692320543,82932.40839693949,292.03790126350043,-0.33846100015297936,0.30583814442043394,899.375942852706,-12.543926089613414,913.1069746182371,909.2384761424966,0.0581881368778667,0.4398409328982092,0.08878405496442737,0.04191712210739974
Kampala,2025-09-01,11573.29113153154,0.8638703378623277,19.0,0.0720095219202539,0.927990478079746,0.3581887554246956,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,0.6432195037751204,0.1337050402195012,0.0045132674331133564,285.446920359184,2.0,0.00020045426532141678,292.39995589387195,289.60778679789536,289.7310042532341,289.85909407622887,289.70485899362626,0.17119154088525684,0.33418584651918204,0.4767530942596147,0.05874317205686834,82867.23378534023,291.0294702162414,-0.7317574740660593,0.14806013853228803,643.2195037751204,14.671427345006757,676.0763381622701,613.5034140211998,0.042493068655374736,0.526619360729755,0.08346893733033438,0.020563962805861362
Kampala,2025-10-01,11573.29113153154,0.6236948907717537,19.0,0.0720095219202539,0.927990478079746,0.09838522069692206,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,0.3186273556459305,0.06951766675617516,0.0024493365689338673,285.8707936546401,2.0,0.00045729231258788785,293.76914736476573,289.6012841214925,289.93964165433164,290.48031527440423,290.06700081426317,0.1962951977486356,0.23568650663126414,0.31329412667520323,0.15258331470398612,82793.76962862739,291.33626010919335,-0.4597121171169016,0.7749672025087697,318.6273556459305,47.41982456634869,314.94653390588746,296.0152707152058,0.020560015326608776,0.5089229010105191,0.11604229429936133,0.02498160281100064
Kampala,2025-11-01,11573.29113153154,0.6421336591093032,19.0,0.0720095219202539,0.927990478079746,0.2923618255131976,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,0.15237243544581439,0.027216695079717933,0.0031841897150345615,285.91503619899504,2.0,0.00045761853014722795,292.0412826999933,289.8316530202304,289.40330247458303,289.15845500332864,289.29433452083515,0.34992079717653546,0.4285600108782145,0.49537580627267397,0.15005086946000423,82982.7183249036,290.5156022702535,0.7267670385786584,-0.13232841661897804,152.37243544581438,14.272262767329174,169.40592004852337,180.99248835061044,0.00868983170366774,0.40973384976531274,0.220393512120508,0.03385059152844514
Kampala,2025-12-01,11573.29113153154,0.8146265747824504,19.0,0.0720095219202539,0.927990478079746,0.15511660819448217,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,0.8161688330629777,0.136789105855989,0.0032271747854624284,285.4127212823211,2.0,0.00019548315582258285,292.61869179918494,289.57207621680703,289.0823833983378,289.6246185999579,290.2928833387849,0.3930300106619902,0.14740620467567095,0.5030168891435404,0.03439862200520179,82851.4636452171,290.8661981596947,1.1573292833367543,-0.933632596295874,816.1688330629777,25.81163151377867,793.3782835736674,801.6418108769901,0.05254996284425716,0.508661852370553,0.18049177265624436,0.02802758907296492
Kampala,2026-01-01,11573.29113153154,0.8111611725067758,19.0,0.0720095219202539,0.927990478079746,0.13074143774186434,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,2.3373606315856206,0.28799678722357336,0.0032923305343812194,287.16572914221933,2.0,0.00043283076212435423,291.92316964192617,288.580367141706,289.0119129886883,288.91334847951686,289.9774068252858,0.08689357676059695,0.16857493242645563,0.42520287142485086,0.5140934729139176,82977.46340534293,290.3876834341063,-0.02976267803090004,-1.6206336700345363,2337.3606315856205,20.321552970974004,2346.8050642144744,2312.490781257958,0.14739847372491616,0.47353260567573363,0.18021253733634252,0.06215633202436366
Kampala,2026-02-01,11573.29113153154,0.566920700485776,19.0,0.0720095219202539,0.927990478079746,0.5198983348888652,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,1.0430338919116888,0.27261458483666634,0.003979098406035852,287.6759910749632,2.0,0.00042837896101478867,293.7776742001059,290.22480997242883,290.81974738899316,290.9377392380934,291.1341672241972,0.4581289174048813,0.32571719431717255,0.07037242464726588,0.3565113583465801,83027.76648957885,291.790114333397,0.27354869058501896,-0.10109632621694703,1043.033891911689,5.801248433940907,1021.3126267892291,1000.8099786803922,0.07307775928564306,0.38192283190245546,0.1564775767983784,0.051137987772885515
Kampala,2026-03-01,11573.29113153154,0.6939766401164678,19.0,0.0720095219202539,0.927990478079746,0.14767705949212873,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,1.26080421306409,0.26688810743836805,0.0037865528482881527,289.786489434803,2.0,0.0006098441599219884,295.4653351137573,291.89058295884075,292.2739961186182,292.12901126745106,292.7329845047891,0.6743366858705427,0.14194602741149745,0.36300301822654024,0.3141287816981801,82884.00614700366,293.4771805505168,-0.5012646823189044,-0.009256567996194965,1260.80421306409,23.760595954651258,1252.1506582291538,1233.8517729236391,0.08511500876998473,0.40008386766800325,0.23619259989972544,0.05500216104007209
Kampala,2026-04-01,11573.29113153154,0.9245438714512382,19.0,0.0720095219202539,0.927990478079746,0.133991005005476,1.00003,2.00003,0.3476,32.5825,-1.0,30.0,4.038744431080052,1.068277984950383,0.0026797667929793576,291.9792389563504,2.0,0.0005404697493434889,296.19941398748426,292.1346780714675,292.7403849186353,292.09071172740494,292.58922751815714,0.25975741915425515,0.15769075846845668,0.23739477340650603,0.04383395727507158,83017.94401207213,293.6690400250433,-0.8565672645454387,0.6769361870827064,4038.744431080052,-43.96848716057786,4020.995553390065,3977.567465747249,0.2881839176705651,0.470665630259883,0.37476711488432385,0.07723247643977563
