,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
1985-01-01,0.10417264599478923,0.5321896671131854,0.8091202587058198,0.01,0.01,0.024835707650561634,1.0,0.01,0.11664229413936529,0.01,0.4487136192540586,1.0,0.01,0.11439620937776464,1.0,0.01,0.013258259634094322,0.06190480364204452,0.07596121902091862,0.4856576783541071,0.11469439274443281
1985-01-02,0.12049657675711449,0.8940461782413506,1.0,0.0798538794248626,0.09925573121527445,0.01,1.0,0.06689799153464747,0.1221501380814109,0.07908857236056269,0.14689984233236958,1.0,0.05545526815234666,0.1053952165577459,0.9227436941621626,0.01,0.06951058078149322,0.05363404749379487,0.12254230731665136,0.4971533165245701,0.23211544356569017
1985-01-03,0.11131382035740911,0.5411437550005391,0.6850192195429188,0.13675954405138538,0.01,0.032477766461005024,0.9489937078642547,0.12500193289775838,0.178845539022191,0.01,0.2671874938959195,0.9885817237677738,0.01,0.18845602239401235,0.8990479062151435,0.0763417347049255,0.06011360501073106,0.10770442464543786,0.3775800061483786,0.5072673013619162,0.039849640275986926
1985-01-04,0.03189595683280346,0.47655806925374333,0.7601686587626233,0.01,0.01,0.07629150215435687,0.9208390788914785,0.05416173857426338,0.25400740428144297,0.01,0.2946438331558138,0.9448386636003805,0.01,0.09355789883841492,1.0,0.14185157734710366,0.0262508551844048,0.06477937902326358,0.26462663577321255,0.5959428656842448,0.008254689519266084
1985-01-05,0.01,0.8871936583446395,0.8394527546851432,0.12029590644491106,0.0907307023342344,0.01,0.6033299551004799,0.19451794806200548,0.3457719921408539,0.07296472603006238,0.19520145381969722,0.7725692005993396,0.01,0.05000228409364972,0.8485061135686771,0.2808287297013561,0.01347716776759128,0.08396328441696894,0.2529101610505728,0.42695389380528936,0.08191804861849893
1985-01-06,0.01,0.36919055157868896,0.8561765441555038,0.1792959252054908,0.047207362829159445,0.01,1.0,0.16675908267418493,0.15234671479568512,0.013318526190971985,0.0257032570901764,1.0,0.13168924899056575,0.09528957454332032,0.8533902085354284,0.01,0.06814824228276159,0.046088541375837434,0.14211840061218226,0.41745982946086,0.032042580323983105
1985-01-07,0.01,0.11116591180585787,0.8245188585229737,0.17400324292919656,0.01,0.07924065944328076,0.9601629162774317,0.1585943317055977,0.2805607824224239,0.01,0.2337611888232478,1.0,0.0615566196104306,0.2072139648411376,0.8737313432956164,0.01,0.08121622524323838,0.09367135672775387,0.19879984230791153,0.6261754053143691,0.06759006653673878
1985-01-08,0.01,0.37444482617820646,0.47061328788081935,0.17695137562307012,0.19590793822542574,0.038698424903541834,0.8810284692013572,0.30169360111137583,0.5644983213967962,0.1660379662971117,0.33827109349055084,0.665981523949779,0.09749773936084238,0.11865398044832744,0.7568861991123059,0.30296039522552154,0.14915532351336225,0.25120981823246735,0.43524142262625,0.4566678576356292,0.04609653591931251
1985-01-09,0.07162103762224399,0.2131651524948343,1.0,0.01,0.01,0.01,1.0,0.06551112694496261,0.22695578931482185,0.01,0.25599959060408606,0.9791968246248713,0.01,0.1874671567985525,0.9781131315964691,0.0506078466097172,0.04117299751816312,0.05078957632912497,0.14325908987718272,0.3770476951314421,0.02391827925401963
1985-01-10,0.17372949491543552,0.7836702543183006,0.6876165143513887,0.12816184560665886,0.01,0.027548030181165025,1.0,0.25279367335786235,0.2484725079845643,0.01,0.3377912705277294,0.9752960791973931,0.053859907751247556,0.1685792502760553,0.8573806685647495,0.07419535043560183,0.039327780137902356,0.09927245495907189,0.2810915558095348,0.45525713259221534,0.16291634638392197
1985-01-11,0.09333334516326375,0.5662793954485017,0.8219393584012628,0.01,0.01,0.01,1.0,0.01,0.24423666175718314,0.06146566863651239,0.404338362661145,0.9543127161524851,0.12244460462038549,0.1193878730008399,1.0,0.06669460167308143,0.04898487436090439,0.06541970643699062,0.2703512683871269,0.47118374694448284,0.06423222831928736
1985-01-12,0.01,0.5897989022752416,0.9389022211615983,0.01,0.01,0.01,0.9493095072788297,0.10905615052785708,0.20209561825883737,0.01,0.37344971129003435,0.9021984033763644,0.01,0.01,0.9527191159409261,0.034812426400570445,0.031177855511729854,0.033816357804308764,0.19777042318872493,0.6601041839677322,0.07259158984077471
1985-01-13,0.01,0.5567534030144949,0.813918604246122,0.10240384241333325,0.1041500875867506,0.012658150914124094,0.8844689394653477,0.21783752689666588,0.25765206206230307,0.15789294423715858,0.45374286731348845,0.9173112626824395,0.01,0.12106085812048072,0.839530066310317,0.08553401823787457,0.11345236020609918,0.12233449621837916,0.27125646581840657,0.5975094199246614,0.07424968985822676
1985-01-14,0.01,0.1699325462894523,0.7686853242919679,0.07076842070234748,0.08863710643736702,0.01,0.8845285749175819,0.12165742412820255,0.3953782455534804,0.01,0.45375624830423716,0.8714457911203565,0.01,0.13779976765607874,0.900213340437721,0.06864646130042427,0.031400507083846924,0.17180078518615124,0.36816247383319944,0.6201977443135728,0.05000949136969286
1985-01-15,0.01,0.39159760149392364,0.6683265257933205,0.01,0.059415014043264845,0.01,0.7180406046978625,0.09600439435615596,0.2578545645102709,0.05576410021812163,0.5091677429145711,0.856802286916321,0.1285807896358046,0.10458776524218374,0.9571006652292104,0.21971302669114917,0.10370882280649008,0.16508989836618201,0.4131123223250641,0.5878619270258886,0.018070033670163407
1985-01-16,0.021116366075971837,0.6356856022083897,0.4679678287374366,0.04313908784221716,0.034880151630317505,0.01,0.931114347666274,0.20435397460514027,0.4919281367223012,0.07333259943804926,0.4911953193803149,0.8289310955463234,0.01,0.09636278894897314,0.8779052560187012,0.10904361718743918,0.02097577362368962,0.11476150944474343,0.5441617475886746,0.600907805977078,0.03696766206550101
1985-01-17,0.06787053537054606,0.4065274420906299,0.6440750615574813,0.01,0.03367582007062233,0.01,0.8388477013970241,0.19682584172087522,0.5034976681545587,0.07251091486735725,0.31838262971914905,0.9422377264073941,0.01,0.15362190092461325,0.8938597934679717,0.04791842457746598,0.04754023477637578,0.15794472641423654,0.4024083787834288,0.43789409777130406,0.04379812286584994
1985-01-18,0.25681557518987064,0.15498740533760352,0.7857618732591993,0.03954988076438466,0.11507319876794483,0.016505752855512076,1.0,0.17671195206229862,0.4991577028262596,0.19476312392644105,0.3581010454786883,1.0,0.16190442025551505,0.30927527075673,0.8767644199859463,0.01,0.08373320426486668,0.32180219109681457,0.23747342141501676,0.4872609618032101,0.2259140376357332
1985-01-19,0.11586764064195144,0.435261884195437,0.8012107693687716,0.01,0.01,0.01,0.7978416962290185,0.09968843289762053,0.02816823204528325,0.01,0.472662280160678,1.0,0.01,0.16963634398774274,0.9512641598375072,0.10861763045086034,0.024966009957992426,0.025139508035640856,0.2367204653282609,0.40854850794684355,0.07293942533554165
1985-01-20,0.01,0.19039252691781056,0.988327756174237,0.01,0.01,0.01,0.9066877267189375,0.10569434527433837,0.25723755121487474,0.01,0.2721304600360993,1.0,0.12095213023515293,0.15091256075795628,0.9614432470240998,0.03280372780944835,0.059326830252558076,0.030413596446013033,0.26445543318318937,0.4869100928135394,0.003961300593877441
1985-01-21,0.12966275221009502,0.6674828483736565,0.8330035521723205,0.021458633701322272,0.02089007987414154,0.07421583400578169,0.8476158224825778,0.17764380268682328,0.295778388136676,0.01,0.28307757975903236,0.7852171979518916,0.16978899798765035,0.1377723965407129,0.9005624925713633,0.09055678641396796,0.049087703570484725,0.1387920646350786,0.20688044342378367,0.5767882459921568,0.06574440140869559
1985-01-22,0.013958551254480627,0.39825197327604245,0.9911440743222479,0.0825016838246702,0.01,0.01,1.0,0.1164423043346568,0.30401238876809417,0.01,0.28400962114661243,1.0,0.01,0.1520793861194329,0.9418844495597983,0.01,0.027448659634294676,0.09489683697787209,0.09772942420842284,0.5222549205307381,0.09572057918821014
1985-01-23,0.055919666868470524,0.4887108474809357,0.5401491550743773,0.01,0.012779816179558569,0.01,1.0,0.09678044404853366,0.3474757143504891,0.030074709572870815,0.5232958027199893,0.7964673983047772,0.06980369601424634,0.12207206251164132,0.9571994161662283,0.12826959857449718,0.08121082773355988,0.03408264217795545,0.45544499162280005,0.6403635129217635,0.0
1985-01-24,0.07686585997645198,0.7573863533269231,0.9064710711640195,0.01,0.01,0.01,1.0,0.09696666572350288,0.299577000885391,0.0416858148181416,0.43393883085717927,1.0,0.015777284090038445,0.08089583603276765,0.9607056101332676,0.049965348476492165,0.0365796824884539,0.07405932712319623,0.35010473815198734,0.3954926843106259,0.15786332017214427
1985-01-25,0.1294218284681084,0.7113377703347055,0.784723184241154,0.014368720324594615,0.01,0.01,0.7376737537468083,0.09074698715807719,0.2947095017398335,0.01,0.430608244596417,1.0,0.1082497427255883,0.1267539762644915,0.9512652677010487,0.1315195282188876,0.09805712945266856,0.098731282271694,0.41864749599851914,0.560076924348187,0.16010745031718407
1985-01-26,0.06504746858959262,0.4214680871211804,0.7941674501928537,0.01,0.08474657503113128,0.01,1.0,0.01,0.15635655934276338,0.03561107825900678,0.2428091865420237,0.9331426521204639,0.01,0.1250289432061383,1.0,0.11072345714022121,0.055130574061948684,0.1120821098496104,0.2008037351661694,0.3856416277798604,0.09100934415212392
1985-01-27,0.01,0.8120544400599298,0.8431924517868729,0.01,0.016160277250341096,0.01,0.8670493467490958,0.01,0.12232944014315693,0.07995845364551574,0.5135484435031845,0.9317851400507764,0.01,0.01,1.0,0.09842594259034208,0.05205169721604746,0.04090895730712109,0.33852890305414085,0.5203083662220176,0.023384511985055915
1985-01-28,0.13940159298588842,0.30618365153646293,0.6364962760048983,0.01,0.05488474041703162,0.020044984922883972,0.9989330377697446,0.18372031529322513,0.4317543324936575,0.08024499754347812,0.35167612942796184,0.8231121715086478,0.1026360574695653,0.2018521344040325,0.9037748260516003,0.16317112610890877,0.05102119372370936,0.13548220138389105,0.23492095245186695,0.5853428652536171,0.11747920642503569
1985-01-29,0.0225481833081022,0.17249256421368248,0.7355554480005868,0.031300407416402276,0.031083723499060967,0.01,0.7996740411330059,0.11129004762440711,0.300308977515785,0.01,0.3461923119252651,0.9536775616163462,0.01,0.18616570103623528,0.9287481092630636,0.01,0.06923038125203992,0.01,0.19802585808479192,0.4902780620703461,0.03331741430860605
1985-01-30,0.024518702057442304,0.5694919154228981,0.9308388352125232,0.030163770752978606,0.032877023254670776,0.01,0.8643408330732232,0.08560055317312085,0.0778368202711356,0.0726413507041127,0.4236765472948745,1.0,0.015678221819078825,0.10741009917003512,0.9415751875366118,0.02545952687252001,0.037467635109818466,0.05071956670166533,0.2941592180703848,0.5672597666837792,0.11749994537214631
