city,date,geopotential_height,high_vegetation_cover,high_vegetation_type,lake_cover,land_sea_mask,low_vegetation_cover,low_vegetation_type,soil_type,target_latitude,target_longitude,grid_latitude,grid_longitude,total_precipitation,runoff,evaporation,dewpoint_temperature_2m,experiment_version,skin_reservoir_content,skin_temperature,soil_temperature_level1,soil_temperature_level2,soil_temperature_level3,soil_temperature_level4,soil_volume_water_content_level1,soil_volume_water_content_level2,soil_volume_water_content_level3,soil_volume_water_content_level4,surface_pressure,temperature_2m,u_component_wind_10m,v_component_wind_10m,rainfall_mm,rainfall_monthly_anomaly,rainfall_3month_avg,rainfall_6month_avg
Kabale,1981-01,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.0041478006,0.0015792623,-0.0036827372,286.5813,1.0,0.00016027689,292.1626,292.77026,292.75708,292.74854,292.86963,0.41255188,0.41325378,0.41101074,0.4340515,82998.56,291.77393,-0.43454838,0.094264984,72.68498,4.87883,88.49077186151757,88.3163223220681
Kabale,1981-02,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.0023305928,0.0008665174,-0.0036142375,285.90527,1.0,9.0673566e-05,293.33984,293.7666,293.6101,293.25464,292.91528,0.37243652,0.3674469,0.36521912,0.4248047,82932.56,293.04248,-0.44948673,-0.0087480545,55.15325,-25.72136,88.49077186151757,88.3163223220681
Kabale,1981-03,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.008259908,0.001740016,-0.0032739006,288.15186,1.0,0.00023114681,292.83472,293.47437,293.51904,293.54346,293.19727,0.4259796,0.42407227,0.38839722,0.41664124,82955.44,292.1079,0.058455467,0.23186493,220.6107,91.81912,116.14964548746744,88.3163223220681
Kabale,1981-04,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.0119283395,0.0062154233,-0.0034671114,288.96265,1.0,0.00031024218,292.7295,293.36865,293.33813,293.28076,293.25146,0.441864,0.44573975,0.45606995,0.45046997,83000.94,291.85376,-0.40525055,0.49335575,171.96494,28.668732,149.2429631551107,88.3163223220681
Kabale,1981-05,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.00805434,0.007065758,-0.0033386126,288.24292,1.0,0.00024235249,292.26416,292.9026,292.93896,293.06006,293.23633,0.4209137,0.42687988,0.42799377,0.46144104,83065.875,291.6665,-0.6983452,0.81762886,128.3138,20.31755,173.62981160481772,88.3163223220681
Kabale,1981-06,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.004960937,0.0037881583,-0.0032421565,286.05566,1.0,0.00010281801,292.13306,292.6809,292.71875,292.83984,293.094,0.35766602,0.37319946,0.3887024,0.4468994,83153.81,292.08765,-0.72064686,1.0898361,26.464674,-3.031454,108.9144687652588,112.53205712636311
Kabale,1981-07,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.003691674,0.0010182261,-0.0030603074,285.448,1.0,0.00015464425,292.38208,292.89917,292.88818,292.9048,292.98462,0.38227844,0.35923767,0.33970642,0.43006897,83104.75,292.2661,-0.3667183,0.6450863,4.0816336,-11.885459,52.95336818695069,101.09816567103069
Kabale,1981-08,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.00741833,0.0015940219,-0.0031648958,286.86475,1.0,0.0002233535,292.46655,293.06348,293.06958,293.0454,292.99414,0.426651,0.42530823,0.38716125,0.42008972,83068.81,291.91992,-0.35212135,0.4965105,78.55061,31.153824,36.36564032236735,104.99772596359252
Kabale,1981-09,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.011389214,0.0053766742,-0.0033303872,287.3479,1.0,0.00019934773,292.2307,292.82178,292.7859,292.75977,292.9099,0.42533875,0.43330383,0.4441681,0.43545532,83057.625,291.4619,-0.29653645,0.45873165,87.35704,-13.456917,56.663095792134605,82.7887822786967
Kabale,1981-10,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.011210425,0.00926736,-0.003327188,287.84448,1.0,0.00021235645,292.2085,292.89648,292.9402,293.0276,292.96753,0.42851257,0.43528748,0.41828918,0.4577942,83000.31,291.3562,-0.568347,0.45440197,120.89037,-4.045471,95.5993423461914,74.27635526657104
