date,city,geopotential_height,high_vegetation_cover,high_vegetation_type,lake_cover,land_sea_mask,low_vegetation_cover,low_vegetation_type,soil_type,target_latitude,target_longitude,grid_latitude,grid_longitude,total_precipitation,runoff,evaporation,dewpoint_temperature_2m,experiment_version,skin_reservoir_content,skin_temperature,soil_temperature_level1,soil_temperature_level2,soil_temperature_level3,soil_temperature_level4,soil_volume_water_content_level1,soil_volume_water_content_level2,soil_volume_water_content_level3,soil_volume_water_content_level4,surface_pressure,temperature_2m,u_component_wind_10m,v_component_wind_10m,rainfall_mm,rainfall_monthly_anomaly,rainfall_3month_avg,rainfall_6month_avg,monsoon_intensity,climate_change,siltation,agricultural_practices,landslide_risks
2025-07-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.002381231051406695,0.0008088782343152997,-0.0025402793500000002,285.1614260735481,1.0,9.654839533507485e-05,293.0403485075942,293.52078046507665,293.4844900427763,293.42036171091667,293.4361499628565,0.33179250966608836,0.3364798346923475,0.3489511206318733,0.4161282762649403,83030.93100790365,292.71398769942493,-0.5232101696478433,0.7025586224812267,38.20243724340769,0.2615424661917838,61.45853925566469,86.38979720305144,1.8631866807759154,2.3339199472308048,0.28583360931056123,3.569968661447215,0.27386416588723994
2025-08-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.0030753059022420835,0.0007997163407196322,-0.002597060175190343,285.6121853989771,1.0,0.00011225316401372572,293.16083640090886,293.6496067225055,293.61397102728375,293.53269390047774,293.4569255570227,0.34829321648696965,0.34812514274849504,0.346405828698231,0.4121436397999083,83020.51734176555,292.71214352884385,-0.5196513906674857,0.629130940434506,48.79688824697656,0.09103413763464194,55.12331934935648,84.35683642700856,2.336305717394168,2.3584070809045374,0.36554894813135097,3.7589538887662464,0.35522907898507555
2025-09-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.0037247907085777936,0.0009170875373949038,-0.0026928578530762957,286.05203404722477,1.0,0.00012669879908329697,293.161170404084,293.6720738846484,293.64544446933854,293.5777349414054,293.4906929605005,0.3631494842365823,0.3624196256783842,0.35433899572745436,0.4100815908324877,83003.03964874429,292.63458807509295,-0.51141399680623,0.578501401862438,64.72150927216818,-0.01311129155531924,58.59385705953798,82.54105175541723,3.0135022458263143,2.7566665339980823,0.5863395735750816,4.12692844841046,0.575957214020065
2025-10-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.004896834413417182,0.0011866634899424142,-0.002844275027142856,286.8168435155037,1.0,0.000154875510636351,293.0947734480647,293.64733646423673,293.64089896669105,293.6167890574994,293.5375288957666,0.3899379775571323,0.38786261886574946,0.37044415390383284,0.4081343166653936,82972.58138151112,292.4740088338837,-0.4917900942880548,0.47488963789473937,90.14044707449231,-0.11243430794042392,68.14270657426495,79.30426709102782,4.131980405812716,3.6251323166361247,1.0842431469878564,4.8114436507087985,1.062250032433144
2025-11-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.005655068643445356,0.0016197080595330732,-0.0029464372138997864,287.3436866853273,1.0,0.00017975891566531982,292.84479863611205,293.4360698988516,293.4558783939533,293.5046053602166,293.54489793128283,0.40796498254822994,0.4091142542327237,0.3955066838710874,0.41238972690674053,82944.26967417153,292.2046033118121,-0.4570404310968705,0.3880198368493377,108.0704221008931,-0.00839647982656295,87.80823297218357,77.98170867809542,4.891572255095001,4.361747547719634,1.6733525150854731,5.516743602640335,1.665369584519729
2025-12-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.005522465220698371,0.0018489661470878383,-0.003004101896253208,287.50574597485144,1.0,0.00019468484290666944,292.63773004784747,293.2439142883332,293.2659166121148,293.34774878029845,293.48329981822707,0.41563379605443895,0.418109937645262,0.4105710205027305,0.41983403725899526,82930.94102949883,292.04738512459255,-0.4064956974937199,0.28300483965205264,105.38587832160904,-0.12887819385060387,100.93837779370774,80.12426504702609,4.756344736164822,4.178836152482547,1.8457682424541115,5.911440759932046,1.8243826512469283
2026-01-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.004756741627209039,0.0017565293603430676,-0.003054253791967299,287.346959199563,1.0,0.0001887972128514901,292.6532031682266,293.23761521833995,293.23885618782464,293.27938742110496,293.3994206598573,0.41155931040285365,0.41420769257328555,0.4105860500011818,0.42516450096190184,82924.78942183706,292.1181698979863,-0.3099642865658841,0.17284470594791543,91.88711378331641,-0.1834709239416216,101.42213771563434,84.947759320988,4.147142144451262,3.261007581848937,1.5187428690629783,5.873484819780697,1.4985367264062794
2026-02-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.0039846111051534535,0.0014230819112580177,-0.0031043280937569618,287.10593553742075,1.0,0.00017110489942990243,292.95314936377525,293.5022536717716,293.46608241687164,293.40203073992006,293.36772249715773,0.40127689688559737,0.4023703514278276,0.39808275803911886,0.42518822716084187,82916.66946415587,292.4599788288779,-0.25385362331806793,0.11454970911981215,82.07963118466999,-0.1273691891260533,92.74861542763314,90.66728637230561,3.7303033653353856,2.740874538609694,0.9865438619184003,5.536624311555759,0.9507851550069969
2026-03-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.004105036762464479,0.0012293263445857091,-0.0031302189281916127,287.1572400214532,1.0,0.00016377802082450328,293.2204586250461,293.75731191809456,293.71666989774906,293.61199934836617,293.43499970659036,0.3980327612337418,0.3983589047827831,0.3884600147493705,0.421465371074562,82905.44368792798,292.7127708836601,-0.2842541592929216,0.18066523273258336,91.33547701726353,-0.02526985315479306,87.92326226000448,95.01516482186588,4.1681380323946025,3.609627427782615,0.8311924562566344,5.320150040956684,0.7931819506091466
2026-04-01,Kabale,17455.652201526806,0.9086567073077686,19.0,0.0,1.0,0.0186623533181755,1.0000305189751728,2.000030518975173,-1.242,29.9856,-1.0,30.00000000000001,0.004940742213656003,0.0014596086678687716,-0.0031130024135085517,287.50334800887805,1.0,0.00017866637002060686,293.2522087577756,293.81112772435125,293.7852316058011,293.7174566304293,293.5423361867278,0.40323499069112795,0.40420252515032246,0.39266748601839385,0.4196917043076165,82904.40622604181,292.71366008626217,-0.4276341554759817,0.37504435474604964,108.78452058202372,0.023914491660293653,93.35285631978127,98.1454127751167,4.9519433427165325,4.959070796019669,1.365527474845236,5.440678127449126,1.3414300996617623
